market_id,event_title,movie,price,volume,timestamp,model_prob_win,fair_price_bid,edge,kelly_bet
613835,Oscars 2026: Best Picture Winner,One Battle After Another,0.735,273169.713274,2025-12-26T22:06:55.155210,0.06202169859013788,0.06144103614037683,-0.6735589638596231,0.0
613836,Oscars 2026: Best Picture Winner,Hamnet,0.039,202817.12426,2025-12-26T22:06:55.155241,0.0915320229193164,0.0906750775297497,0.051675077529749695,258.3753876487485
613837,Oscars 2026: Best Picture Winner,Sinners,0.0595,104198.01004,2025-12-26T22:06:55.155252,0.06202169859013788,0.06144103614037683,0.0019410361403768353,9.705180701884176
613838,Oscars 2026: Best Picture Winner,Sentimental Value,0.0115,176358.681804,2025-12-26T22:06:55.155262,0.06202169859013788,0.06144103614037683,0.04994103614037683,249.70518070188416
613839,Oscars 2026: Best Picture Winner,Marty Supreme,0.105,166050.903438,2025-12-26T22:06:55.155271,0.05632739871957933,0.0558000477106152,-0.0491999522893848,0.0
613840,Oscars 2026: Best Picture Winner,Wicked: For Good,0.0035,550503.028936,2025-12-26T22:06:55.155280,0.05632739871957933,0.0558000477106152,0.052300047710615194,261.500238553076
613841,Oscars 2026: Best Picture Winner,Bugonia,0.013,287946.046639,2025-12-26T22:06:55.155289,0.05632739871957933,0.0558000477106152,0.0428000477106152,214.000238553076
613842,Oscars 2026: Best Picture Winner,It Was Just an Accident,0.0055,621245.662709,2025-12-26T22:06:55.155297,0.08136179815050347,0.08060006891533306,0.07510006891533305,375.50034457666527
613843,Oscars 2026: Best Picture Winner,Jay Kelly,0.0025,854813.914117,2025-12-26T22:06:55.155305,0.06202169859013788,0.06144103614037683,0.05894103614037683,294.70518070188416
613844,Oscars 2026: Best Picture Winner,A House of Dynamite,0.0025,969833.619831,2025-12-26T22:06:55.155314,0.06202169859013788,0.06144103614037683,0.05894103614037683,294.70518070188416
613845,Oscars 2026: Best Picture Winner,Avatar: Fire and Ash,0.009,172633.579055,2025-12-26T22:06:55.155322,0.05632739871957933,0.0558000477106152,0.046800047710615196,234.00023855307597
613846,Oscars 2026: Best Picture Winner,No Other Choice,0.0025,724377.943826,2025-12-26T22:06:55.155331,0.0915320229193164,0.0906750775297497,0.08817507752974969,440.8753876487485
613847,Oscars 2026: Best Picture Winner,Springsteen: Deliver Me from Nowhere,0.0015,670938.394508,2025-12-26T22:06:55.155343,0.08136179815050347,0.08060006891533306,0.07910006891533305,395.50034457666527
613848,Oscars 2026: Best Picture Winner,Rental Family,0.0015,989541.945772,2025-12-26T22:06:55.155353,0.06202169859013788,0.06144103614037683,0.05994103614037683,299.70518070188416
613849,Oscars 2026: Best Picture Winner,Frankenstein,0.0115,401392.120597,2025-12-26T22:06:55.155361,0.05677257144121571,0.056241052615358646,0.04474105261535864,223.70526307679322
