market_id,event_title,movie,price,volume,timestamp
613835,Oscars 2026: Best Picture Winner,One Battle After Another,0.735,273169.713274,2025-12-26T22:06:55.155210
613836,Oscars 2026: Best Picture Winner,Hamnet,0.039,202817.12426,2025-12-26T22:06:55.155241
613837,Oscars 2026: Best Picture Winner,Sinners,0.0595,104198.01004,2025-12-26T22:06:55.155252
613838,Oscars 2026: Best Picture Winner,Sentimental Value,0.0115,176358.681804,2025-12-26T22:06:55.155262
613839,Oscars 2026: Best Picture Winner,Marty Supreme,0.105,166050.903438,2025-12-26T22:06:55.155271
613840,Oscars 2026: Best Picture Winner,Wicked: For Good,0.0035,550503.028936,2025-12-26T22:06:55.155280
613841,Oscars 2026: Best Picture Winner,Bugonia,0.013,287946.046639,2025-12-26T22:06:55.155289
613842,Oscars 2026: Best Picture Winner,It Was Just an Accident,0.0055,621245.662709,2025-12-26T22:06:55.155297
613843,Oscars 2026: Best Picture Winner,Jay Kelly,0.0025,854813.914117,2025-12-26T22:06:55.155305
613844,Oscars 2026: Best Picture Winner,A House of Dynamite,0.0025,969833.619831,2025-12-26T22:06:55.155314
613845,Oscars 2026: Best Picture Winner,Avatar: Fire and Ash,0.009,172633.579055,2025-12-26T22:06:55.155322
613846,Oscars 2026: Best Picture Winner,No Other Choice,0.0025,724377.943826,2025-12-26T22:06:55.155331
613847,Oscars 2026: Best Picture Winner,Springsteen: Deliver Me from Nowhere,0.0015,670938.394508,2025-12-26T22:06:55.155343
613848,Oscars 2026: Best Picture Winner,Rental Family,0.0015,989541.945772,2025-12-26T22:06:55.155353
613849,Oscars 2026: Best Picture Winner,Frankenstein,0.0115,401392.120597,2025-12-26T22:06:55.155361
